515F	NZ_CP028827.1	89.474	19	2	0	1	19	2322202	2322184	0.005	32.4	19
515F	NZ_CP028827.1	89.474	19	2	0	1	19	2683402	2683384	0.005	32.4	19
515F	NZ_CP028827.1	89.474	19	2	0	1	19	2688946	2688928	0.005	32.4	19
515F	NZ_CP028827.1	89.474	19	2	0	1	19	2694490	2694472	0.005	32.4	19
515F	NZ_CP028827.1	89.474	19	2	0	1	19	2772095	2772077	0.005	32.4	19
515F	NZ_CP028827.1	89.474	19	2	0	1	19	2945438	2945420	0.005	32.4	19
515F	NZ_CP028827.1	89.474	19	2	0	1	19	46920	46938	0.005	32.4	19
515F	NZ_CP028827.1	89.474	19	2	0	1	19	144156	144174	0.005	32.4	19
515F	NZ_CP028827.1	89.474	19	2	0	1	19	149622	149640	0.005	32.4	19
515F	NZ_CP028827.1	89.474	19	2	0	1	19	401483	401501	0.005	32.4	19
515F	NZ_CP028827.1	92.308	13	1	0	7	19	1837583	1837595	1.8	23.9	19
515F	NZ_CP028827.1	92.308	13	1	0	6	18	2792699	2792711	1.8	23.9	19
515F	NZ_CP028827.1	100.000	10	0	0	10	19	569549	569540	8.0	21.8	19
515F	NZ_CP028827.1	100.000	10	0	0	10	19	899098	899089	8.0	21.8	19
515F	NZ_CP028827.1	91.667	12	1	0	5	16	1046857	1046846	8.0	21.8	19
515F	NZ_CP028827.1	100.000	10	0	0	10	19	1336977	1336968	8.0	21.8	19
515F	NZ_CP028827.1	100.000	10	0	0	10	19	1424690	1424681	8.0	21.8	19
515F	NZ_CP028827.1	100.000	10	0	0	10	19	1604267	1604258	8.0	21.8	19
515F	NZ_CP028827.1	100.000	10	0	0	10	19	2110924	2110915	8.0	21.8	19
515F	NZ_CP028827.1	91.667	12	1	0	6	17	2233796	2233785	8.0	21.8	19
515F	NZ_CP028827.1	91.667	12	1	0	7	18	291393	291404	8.0	21.8	19
515F	NZ_CP028827.1	91.667	12	1	0	5	16	2533445	2533456	8.0	21.8	19
515F	NZ_CP028827.1	100.000	10	0	0	10	19	2619585	2619594	8.0	21.8	19
515F	NZ_CP028828.1	100.000	10	0	0	10	19	291492	291483	8.0	21.8	19
515F	NZ_CP028828.1	91.667	12	1	0	6	17	1018570	1018559	8.0	21.8	19
515F	NZ_CP028828.1	100.000	10	0	0	10	19	24693	24702	8.0	21.8	19
515F	NZ_CP028828.1	91.667	12	1	0	6	17	264876	264887	8.0	21.8	19
515F	NZ_CP028828.1	100.000	10	0	0	10	19	377169	377178	8.0	21.8	19
515F	NZ_CP028828.1	100.000	10	0	0	10	19	423332	423341	8.0	21.8	19
515F	NZ_CP028828.1	100.000	10	0	0	10	19	628515	628524	8.0	21.8	19
806R	NZ_CP028827.1	85.000	20	3	0	1	20	2321911	2321930	0.45	26.1	20
806R	NZ_CP028827.1	85.000	20	3	0	1	20	2683111	2683130	0.45	26.1	20
806R	NZ_CP028827.1	85.000	20	3	0	1	20	2688655	2688674	0.45	26.1	20
806R	NZ_CP028827.1	85.000	20	3	0	1	20	2694199	2694218	0.45	26.1	20
806R	NZ_CP028827.1	85.000	20	3	0	1	20	2771804	2771823	0.45	26.1	20
806R	NZ_CP028827.1	85.000	20	3	0	1	20	2945147	2945166	0.45	26.1	20
806R	NZ_CP028827.1	85.000	20	3	0	1	20	47211	47192	0.45	26.1	20
806R	NZ_CP028827.1	85.000	20	3	0	1	20	144447	144428	0.45	26.1	20
806R	NZ_CP028827.1	85.000	20	3	0	1	20	149913	149894	0.45	26.1	20
806R	NZ_CP028827.1	85.000	20	3	0	1	20	401774	401755	0.45	26.1	20
